EudraCT Number:,Sponsor Protocol Number:,Sponsor Name:,Full Title:,Start Date:,Medical condition:,Disease 1:,Population Age:,Gender:,Trial protocol:,Link:,Disease:,Disease 2:,Disease 3:,Disease 4:,COVID-19
2020-001636-95,282110,University of Manchester,Subcutaneous and Intravenous anakinra in COVID-19 Infection -  Feasibility & Pharmacokinetics/ Pharmacodynamics study,2020-05-20,Suspected or confirmed SARS-CoV-2 infection (confirmed by RNA-PCR),"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001636-95,,,,,
2020-001402-38,CTU/2020/352,University College London,"An international, Bayesian platform adaptive, randomized, placebo-controlled trial assessing the effectiveness of candidate interventions in preventing COVID-19 disease in healthcare workers.",2020-10-20,"Coronavirus disease 2019 (COVID-19), also known as SARS-CoV-2 infection","Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10084268, Term: COVID-19, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001402-38,,,,,
2020-001937-11,132333,University College London,"A single-site, randomised, controlled, parallel design, open-label investigation of an approved nebulised recombinant human DNase enzyme (dornase alfa) to reduce hyperinflammation in hospitalised p...",2020-04-30,Respiratory illness caused by Covid-19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001937-11,,,,,
2020-001640-26,132151,University College London,"A pilot, open label, phase II clinical trial of nebulised recombinant tissue-Plasminogen Activator (rtPA)in patients with COVID-19 ARDS: The Plasminogen Activator COVID-19 ARDS (PACA) trial  ",2020-04-17,Acute respiratory distress syndrome (ARDS) caused by COVID-19 ,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001640-26,,,,,
2020-002668-29,132796,University College London,A Randomised Controlled Trial of plasma exchange with standard of care compared to standard of care alone in the treatment of severe COVID-19 infection (COVIPLEX)  ,2020-06-25,COVID-19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002668-29,,,,,
2020-002106-68,CTU/2020/354,University College London Comprehensive Clinical Trial Unit,"Favipiravir, lopinavir/ritonavir or combination therapy: a randomised, double blind, 2x2 factorial placebo-controlled trial of early antiviral therapy in COVID-19",2020-07-16,SARS-CoV-2 (Corona virus) infection,"Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002106-68,,,,,
2020-001072-15,COV001,University of Oxford,"A phase I/II study to determine efficacy, safety and immunogenicity of the candidate Coronavirus Disease (COVID-19) vaccine ChAdOx1 nCoV-19 in UK healthy adult volunteers",2020-03-26,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT",Adults,"Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001072-15,,,,,
2020-001113-21,NDPHRECOVERY,University of Oxford,Randomised Evaluation of COVID-19 Therapy (RECOVERY),2020-03-17,COVID-19 (infection with SARS-CoV-2 virus),"Version: 21.1, SOC Term: 10021881 - Infections and infestations, Classification Code: 10035737, Term: Pneumonia viral, Level: PT","Preterm newborn infants, Newborns, Infants and toddlers, Children, Adolescents, Under 18, Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001113-21,,"Version: 20.1, SOC Term: 10021881 - Infections and infestations, Classification Code: 10061982, Term: Severe acute respiratory syndrome, Level: PT",,,
2020-001441-39,VIR20001,University of Oxford,"Chloroquine/ hydroxychloroquine prevention of coronavirus disease (COVID-19) in the healthcare setting; a randomised, placebo-controlled prophylaxis study (COPCOV)",2020-05-12,"COVID-19, acute respiratory illness","Version: 23.0, SOC Term: 100000004862, Classification Code: 10053983, Term: Corona virus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) IT(Prematurely Ended) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001441-39,,,,,
2020-001889-10,STOIC,"University of Oxford, Clinical Trials and Research Governance",Use of inhaled corticosteroids as treatment of early COVID-19 infection to prevent clinical deterioration and hospitalisation,2020-06-02,COVID 19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001889-10,,,,,
