EudraCT Number:,Sponsor Protocol Number:,Sponsor Name:,Full Title:,Start Date:,Medical condition:,Disease 1:,Population Age:,Gender:,Trial protocol:,Link:,Disease:,Disease 2:,Disease 3:,Disease 4:,<FONT FACE=Helvetica><BR,<HTML>,<HEAD>,<TITLE>Error 500--Interna,</HEAD>,"<BODY bgcolor=""white"">",<TABLE border=0 cellspaci,"<FONT FACE=""Helvetica"" CO",</FONT></TD></TR>,</TABLE>,<TABLE border=0 width=100,"</FONT><FONT FACE=""Helvet","</FONT><P><FONT FACE=""Cou",</BODY>,</HTML>,
2020-001331-26,PROLIFIC2020,Cambridge University Hospitals NHS Foundation Trust,ChemoPROphyLaxIs For covId-19 infeCtious disease (the PROLIFIC trial),2020-04-14,"Coronavirus disease 2019 (COVID-19) caused by the infection, SARS-CoV-2","Version: 20.0, SOC Term: 100000004862, Classification Code: 10051905, Term: Coronavirus infection, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001331-26,,,,,,,,,,,,,,,,,,,,
2020-001402-38,CTU/2020/352,University College London,"An international, Bayesian platform adaptive, randomized, placebo-controlled trial assessing the effectiveness of candidate interventions in preventing COVID-19 disease in healthcare workers.",2020-10-20,"Coronavirus disease 2019 (COVID-19), also known as SARS-CoV-2 infection","Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10084268, Term: COVID-19, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001402-38,,,,,,,,,,,,,,,,,,,,
2020-001889-10,STOIC,"University of Oxford, Clinical Trials and Research Governance",Use of inhaled corticosteroids as treatment of early COVID-19 infection to prevent clinical deterioration and hospitalisation,2020-06-02,COVID 19,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001889-10,,,,,,,,,,,,,,,,,,,,
2020-001777-71,RAVEN,Guy’s and St Thomas' NHS Foundation Trust,Ruxolitinib therapy to Avoid Ventilation and improve outcome for deteriorating COVID-19 patiENts - RAVEN,2020-05-06,Severe COVID-19 infection with risk of need for mechanical ventilation.,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001777-71,,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10084382, Term: Coronavirus disease 2019, Level: LLT",,,,,,,,,,,,,,,,,,
2020-001740-26,ATOMIC2,"University of Oxford, Clinical Trials and Research Governance",A multi-centre open-label two-arm randomised superiority clinical trial of Azithromycin versus usual care In Ambulatory COVID-19 (ATOMIC2),2020-05-05,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001740-26,,"Version: 20.0, SOC Term: 10022891 - Investigations, Classification Code: 10070255, Term: Coronavirus test positive, Level: PT",,,,,,,,,,,,,,,,,,
2020-002110-41,CRUKD/20/002,Cancer Research UK,"SPIKE-1 TRIAL: A Randomised Phase II/III trial in a community setting, assessing use of camostat in reducing the clinical progression of COVID-19 by blocking SARS-CoV-2 Spike protein-initiated memb...",2020-06-18,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002110-41,,,,,,,,,,,,,,,,,,,,
2020-001597-30,MRx-4DP0004-II-001,4D pharma plc,"A pilot, multiple dose study to evaluate the efficacy and safety of MRx-4DP0004 in hospitalised patients with symptoms of COVID-19 (SARS-CoV-2 infection)",2020-05-29,Symptoms of Covid-19 infection,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10061986, Term: SARS, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001597-30,,,,,,,,,,,,,,,,,,,,
2020-001750-22,20HH5926,Joint Research Compliance Office,"MATIS: Phase 2/3, Randomised, Open-Label, Single-Site, Multi-Arm Trial of Ruxolitinib Plus Best Supportive Treatment (BST) versus Fostamatinib Plus BST versus BST for COVID-19 pneumonia",2020-07-09,COVID-19 pneumonia,,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001750-22,,,,,,,,,,,,,,,,,,,,
2020-001448-24,RG_20-029COVID-19,University of Birmingham,Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19 ,2020-04-15,Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19,"Version: 20.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10035664, Term: Pneumonia, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24,,"Version: 21.1, SOC Term: 100000004855, Classification Code: 10003083, Term: ARDS, Level: LLT",,,,,,,,,,,,,,,,,,
2020-001721-31,SPON-AK-0420,Hampshire Hospitals NHS TRust,Can a sinus rinse and mouth wash reduce viral load in COVID-19 positive individuals?,2020-05-01,Covid-19,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10061986, Term: SARS, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001721-31,,,,,,,,,,,,,,,,,,,,
